pos	campo	tipo	nulos	ceros
96	tcallcenter	integer	0	46
97	ccallcenter_transacciones	integer	0	46
98	thomebanking	integer	0	6
99	chomebanking_transacciones	integer	0	3
100	ccajas_transacciones	integer	0	42
101	ccajas_consultas	integer	0	48
102	ccajas_depositos	integer	0	45
103	ccajas_extracciones	integer	0	46
104	ccajas_otras	integer	0	50
105	catm_trx	integer	0	35
106	matm	numeric	0	35
107	catm_trx_other	integer	0	39
108	matm_other	integer	0	39
109	ctrx_quarter	integer	0	0
110	cmobile_app_trx	integer	0	21
111	Master_delinquency	integer	9	41
112	Master_status	integer	9	41
113	Master_mfinanciacion_limite	numeric	9	0
114	Master_Fvencimiento	integer	9	0
115	Master_Finiciomora	logical	50	0
116	Master_msaldototal	numeric	9	16
117	Master_msaldopesos	numeric	9	16
118	Master_msaldodolares	numeric	9	40
119	Master_mconsumospesos	numeric	28	2
120	Master_mconsumosdolares	numeric	28	21
121	Master_mlimitecompra	numeric	9	0
122	Master_madelantopesos	integer	28	22
123	Master_madelantodolares	integer	28	22
124	Master_fultimo_cierre	integer	9	0
125	Master_mpagado	numeric	9	34
126	Master_mpagospesos	numeric	28	2
127	Master_mpagosdolares	numeric	28	20
128	Master_fechaalta	integer	9	0
129	Master_mconsumototal	numeric	28	2
130	Master_cconsumos	integer	28	2
131	Master_cadelantosefectivo	integer	28	22
132	Master_mpagominimo	numeric	9	21
133	Visa_delinquency	integer	1	49
134	Visa_status	integer	1	49
135	Visa_mfinanciacion_limite	numeric	1	0
136	Visa_Fvencimiento	integer	1	0
137	Visa_Finiciomora	logical	50	0
138	Visa_msaldototal	numeric	1	2
139	Visa_msaldopesos	numeric	1	2
140	Visa_msaldodolares	numeric	1	32
141	Visa_mconsumospesos	numeric	3	1
142	Visa_mconsumosdolares	numeric	3	25
143	Visa_mlimitecompra	numeric	1	0
144	Visa_madelantopesos	integer	3	46
145	Visa_madelantodolares	integer	3	47
146	Visa_fultimo_cierre	integer	1	0
147	Visa_mpagado	numeric	1	37
148	Visa_mpagospesos	numeric	3	0
149	Visa_mpagosdolares	numeric	3	37
150	Visa_fechaalta	integer	1	0
151	Visa_mconsumototal	numeric	3	1
152	Visa_cconsumos	integer	3	1
153	Visa_cadelantosefectivo	integer	3	46
154	Visa_mpagominimo	numeric	1	4
155	clase_ternaria	character	0	0
